index_id,index_name,frequency,tag,type,db_name,sql_query
S0062637,煤钢类_进口金额:钢坯:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062637' and date >= '2019-10-27' and date <= '2022-03-31';
M0000272,煤钢类_固定资产投资完成额:累计值_有极端值,月,累计,同比,steel,select * from final_data_value where index_id = 'M0000272' and date >= '2019-10-27' and date <= '2022-03-31';
M5207831,煤钢类_非制造业PMI:建筑业_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'M5207831' and date >= '2019-10-27' and date <= '2022-03-31';
S5706204,煤钢类_兰格钢铁:钢铁流通业采购经理人指数(LGSC-PMI),月,其他,同比,steel,select * from final_data_value where index_id = 'S5706204' and date >= '2019-10-27' and date <= '2022-03-31';
S5708126,煤钢类_钢铁行业采购经理人指数(PMI):全国,月,其他,同比,steel,select * from final_data_value where index_id = 'S5708126' and date >= '2019-10-27' and date <= '2022-03-31';
M5765907,煤钢类_PPP项目数:交通运输,月,其他,同比,steel,select * from final_data_value where index_id = 'M5765907' and date >= '2019-10-27' and date <= '2022-03-31';
M5765908,煤钢类_PPP项目数:水利建设,月,其他,同比,steel,select * from final_data_value where index_id = 'M5765908' and date >= '2019-10-27' and date <= '2022-03-31';
M5765926,煤钢类_PPP项目投资额:交通运输,月,其他,同比,steel,select * from final_data_value where index_id = 'M5765926' and date >= '2019-10-27' and date <= '2022-03-31';
M5765927,煤钢类_PPP项目投资额:水利建设,月,其他,同比,steel,select * from final_data_value where index_id = 'M5765927' and date >= '2019-10-27' and date <= '2022-03-31';
S0027907,煤钢类_产量:汽车:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027907' and date >= '2019-10-27' and date <= '2022-03-31';
S0027935,煤钢类_产量:轿车:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027935' and date >= '2019-10-27' and date <= '2022-03-31';
S0243298,煤钢类_产量:运动型多用途乘用车(SUV):当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0243298' and date >= '2019-10-27' and date <= '2022-03-31';
S0070634,煤钢类_产量:起重机:累计值_有极端值,月,累计,同比,steel,select * from final_data_value where index_id = 'S0070634' and date >= '2019-10-27' and date <= '2022-03-31';
M6476862,煤钢类_产量:装载机:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M6476862' and date >= '2019-10-27' and date <= '2022-03-31';
S0027854,煤钢类_产量:铁路机车:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027854' and date >= '2019-10-27' and date <= '2022-03-31';
S0027858,煤钢类_产量:发动机:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027858' and date >= '2019-10-27' and date <= '2022-03-31';
S0176142,煤钢类_产量:民用钢质船舶:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0176142' and date >= '2019-10-27' and date <= '2022-03-31';
M6422130,煤钢类_产量:动车组:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M6422130' and date >= '2019-10-27' and date <= '2022-03-31';
M6476861,煤钢类_产量:汽车用发动机:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M6476861' and date >= '2019-10-27' and date <= '2022-03-31';
S5414150,煤钢类_产量:电动自行车:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S5414150' and date >= '2019-10-27' and date <= '2022-03-31';
M6476906,煤钢类_产量:钢铁铰接链(工业链条):当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M6476906' and date >= '2019-10-27' and date <= '2022-03-31';
S0027822,煤钢类_产量:大气污染防治设备:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027822' and date >= '2019-10-27' and date <= '2022-03-31';
S0027842,煤钢类_产量:金属冶炼设备:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027842' and date >= '2019-10-27' and date <= '2022-03-31';
S0027846,煤钢类_产量:大中型拖拉机:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027846' and date >= '2019-10-27' and date <= '2022-03-31';
S0070231,煤钢类_产量:金属轧制设备:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0070231' and date >= '2019-10-27' and date <= '2022-03-31';
S0070240,煤钢类_产量:农作物收获机械:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0070240' and date >= '2019-10-27' and date <= '2022-03-31';
M6476858,煤钢类_产量:收获后处理机械:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M6476858' and date >= '2019-10-27' and date <= '2022-03-31';
M6476859,煤钢类_产量:农产品初加工机械:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M6476859' and date >= '2019-10-27' and date <= '2022-03-31';
S0073080,煤钢类_产量:金属集装箱:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0073080' and date >= '2019-10-27' and date <= '2022-03-31';
S0070203,煤钢类_产量:钢绞线:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0070203' and date >= '2019-10-27' and date <= '2022-03-31';
